// Tracking Event Names,// Comments
// Application Lifecycle,
ApplicationFirstInstall,Backend mapping: app-intall
ApplicationDidLaunch,Backend mapping: app-init
ApplicationDidEnterBackground,Backend mapping: app-stop; Params: SessionTime
ApplicationDidEnterForeground,Backend mapping: app-start
,
// Navigation,
UserDidSelectMainMenu,User opened the main menu with the hamburger button; Params: CurrentSection (template driven value)
UserDidSelectMainSection,"User selected a section from the main menu.  Params: MenuType, Section  (template driven value)"
UserDidSelectStream,"User selected a tab or segmented control to change streams in a multiple stream view; Params: StreamName, StreamId"
,
// Content Creation,
UserDidSelectCreatePost,"User tapped (+) button, displaying the content type selection; Params: CurrentSection (template driven value)"
CreatePollSelected,
CreateImagePostSelected,
CreateVideoPostSelected,
CreateGIFPostSelected,
CreateCancelSelected,User selected cancel from create post content type selection; Params: CurrentSection (template driven value)
,
// Camera,
CameraDidSwitchToVideoCapture,
CameraDidSwitchToPhotoCapture,
CameraDidCapturePhoto,User did move from camera view to workspace with an image just taken
CameraDidCaptureVideo,User did move from camera view to workspace with a video just recorded
CameraUserDidPickImageFromLibrary,
CameraUserDidPickVideoFromLibrary,
CameraDidSearchForImage,Params: SearchTerm
CameraDidSelectImageFromImageSearch,User selected an image from the image search.
CameraDidExitImageSearch,User left the image search without selecting an image.
CameraUserDidConfirmtDelete,User tapped the garbage icon to see deletion confirmation.
CameraUserDidSelectDelete,User confirmed deletion of any recorded video.
UserDidExitCamera,User tapped (X) icon to leave camera without capturing or importing a photo or video
,
// Workspace & Publish,
UserDidSelectMeme,
UserDidSelectQuote,
UserDidSelectCropTool,
UserDidSelectFilterTool,
UserDidSelectTextTool,
,
UserDidPublishContent,"Any non-poll post; Params: TextType, TextLength, CaptionLength, MediaType, CurrentSection, StreamName, MediaSource, DidCrop, FilterName"
CameraPublishDidCancel,"User exited the camer view without producing output for workspace/publish, comment, message, etc."
,
UserDidPublishPoll,"Params: CaptionLength, CurrentSection, StreamName, MediaSource"
UserDidExitPollCreation,
UserDidFailValidationForPublishPoll,
,
// Upload bar,
UploadDidFail,
UploadDidSucceed,
UserDidCancelPendingUpload,
UserDidCancelFailedUpload,
,
// Registration and Login,
LoginDidShow,Params: CurrentSection
UserDidCancelLogin,User exited out of the login prompt
UserDidLogOut,
,
UserDidSelectSignupWithEmail,
UserDidSelectLoginWithEmail,
SignupWithEmailDidFail,Params: ErrorMessage
SignupWithEmailDidSucceed,
LoginWithEmailDidFail,Params: ErrorMessage
LoginWithEmailDidSucceed,
SignupWithEmailValidationDidFail,Params: ErrorMessage
LoginWithEmailValidationDidFail,Params: ErrorMessage
UserDidCancelLoginWithEmail,
UserDidCancelSignupWithEmail,
ResetPasswordValidationDidFail,
UserDidSelectResetPassword,
ResetPasswordDidSucceed,
ResetPasswordDidFail,
,
LoginWithFacebookSelected,
SignupWithFacebookDidSucceed,
LoginWithFacebookDidSucceed,
LoginWithFacebookDidFail,Params: ErrorMessage
,
LoginWithTwitterSelected,
SignupWithTwitterDidSucceed,
LoginWithTwitterDidSucceed,
LoginWithTwitterDidFailUnknown,Params: ErrorMessage
LoginWithTwitterDidFailNoAccounts,Params: ErrorMessage
LoginWithTwitterDidFailDenied,Params: ErrorMessage
,
// Edt/Create Profile,
CreateProfileValidationDidFail,Params: ErrorMessage
CreateProfileDidSucceed,
UserDidSelectExitCreateProfile,
UserDidConfirmExitCreateProfile,
UserDidSelectImageForCreateProfile,Params: MediaSource
,
UserDidSelectEditProfile,
UserDidSelectImageForEditProfile,Params: MediaSource
ProfileDidUpdated,"Pardon the spelling error, it's a legacy/compatibility thing"
UserDidExitEditProfile,
UserDidSelectProfileFollowing,
UserDidSelectProfileFollowed,
,
// Purchases,
UserDidSelectLockedVoteType,
UserDidPurchaseVoteType,
UserDidRestorePurchasesFromPrompt,
UserDidRestorePurchasesFromSettings,
UserDidExitPurchasePrompt,
PurchaseDidFail,Params: ErrorMessage
RestorePurchasesDidFail,Params: ErrorMessage
,
// Content Interaction,
SequenceDidAppearInStream,Stream cell became visible while scrolling stream (once per view); Backend mapping: cell-view
ViewDidStart,Content was displayed in content view and began playing (if video); Backend mapping: view-start
UserDidSelectItemFromStream,Backend mapping: cell-click
UserDidSelectItemFromMarquee,Backend mapping: cell-click
UserDidViewStream,"A stream was presented to the user, regardless of whether visible by default in a view or was seleted explicitly.  Params: CurrentSection, StreamName, StreamId"
UserDidSelectCaptionHashtag,Params: Hashtag
UserDidSelectTaggedUser,
,
UserDidVoteSequence,
