UserDidSelectMainMenu,3210.13,493.94,0.57,374,1663,6789,1897.67,4937.50,102724
LoginWithTwitterDidFailUnknown,3.88,2.34,0.00,5,11,75,14.67,52.00,124
LoginWithFacebookDidFail,7.38,5.38,0.00,7,33,178,34.50,124.00,236
LoginWithTwitterDidFailNoAccounts,1.13,0.91,0.00,2,7,32,5.17,22.00,36
CreateProfileDidSucceed,36.25,35.19,0.01,32,208,1409,222.33,960.50,1160
VideoDidError,1.94,1.22,0.00,0,2,218,15.83,111.00,62
LoginWithTwitterSelected,18.69,14.41,0.00,17,76,422,80.17,298.00,598
LoginWithTwitterDidSucceed,12.94,11.13,0.00,12,60,324,61.17,230.00,414
VideoDidStart,374.91,121.41,0.07,12,102,4537,716.33,2354.00,11997
CameraDidSwitchToPhotoCapture,3.69,2.56,0.00,1,24,42,14.50,48.00,118
SignupWithFacebookDidSucceed,513.81,235.19,0.09,164,609,1990,679.50,1471.50,16442
CameraUserDidPickImageFromLibrary,493.31,118.56,0.09,118,470,2123,509.67,1503.50,15786
UserDidPublishVideoWithFacebook,0.00,0.00,0.00,0,0,0,0.00,0.00,0
LoginWithEmailDidSucceed,28.91,22.03,0.01,23,87,446,103.50,307.00,925
CameraUserDidGoBack,111.75,44.31,0.02,21,126,1176,232.33,759.50,3576
UserDidLogOut,9.78,5.63,0.00,11,21,126,27.00,85.00,313
UserDidSubmitSignupInfo,21.34,20.59,0.00,21,122,830,131.50,564.00,683
UserDidPostComment,116.25,22.34,0.02,26,79,277,78.67,208.50,3720
ApplicationDidEnterBackground,2747.44,696.25,0.48,569,2125,5740,2139.67,4587.50,87918
ApplicationDidEnterForeground,3810.97,1016.31,0.67,1216,4150,5742,2882.33,5803.00,121951
CameraUserDidSelectDelete,1.59,1.38,0.00,1,12,27,8.00,25.00,51
UserDidPublishImageWithTwitter,7.16,1.19,0.00,0,1,16,3.83,10.00,229
LoginWithFacebookSelected,39.00,34.69,0.01,26,177,1047,204.00,735.50,1248
VideoDidComplete100,928.69,376.53,0.16,185,1085,4182,1400.67,3163.50,29718
CameraUserDidPickVideoFromLibrary,35.13,9.53,0.01,14,43,104,33.67,86.50,1124
CameraDidCaptureVideo,6.22,3.06,0.00,2,23,70,19.83,56.50,199
VideoDidComplete75,1197.28,452.59,0.21,227,1438,4655,1643.83,3699.50,38313
UserDidVoteSequence,15183.88,437.22,2.68,335,1261,4213,1435.00,3181.00,485884
CameraDidSwitchToVideoCapture,3.34,2.41,0.00,3,19,53,14.67,46.00,107
SignupWithEmailDidSucceed,20.31,20.09,0.00,20,121,799,127.67,547.50,650
UserDidShare,67.63,26.28,0.01,25,122,432,122.67,339.50,2164
UserDidSelectSignupWithEmail,26.00,24.25,0.00,23,137,970,155.33,656.50,832
ApplicationDidLaunch,3013.06,1521.09,0.53,1177,4106,11024,4275.33,8803.00,96418
ViewDidStart,14811.25,985.19,2.61,889,3169,4194,2399.17,4594.50,473960
SequenceSelected,18332.50,1213.34,3.23,904,3119,8798,3381.00,6929.50,586640
SignupWithWitterDidSucceed,358.69,152.84,0.06,106,403,1118,425.67,883.00,11478
UserDidPublishContent,151.03,54.56,0.03,3,15,1039,233.83,634.00,4833
SequenceDidAppearInStream,220284.94,1426.16,38.86,1122,3809,10124,3917.50,8107.00,7049118
CameraDidCapturePhoto,26.34,12.97,0.00,12,70,327,73.00,234.50,843
LoginWithEmailDidFail,38.06,17.63,0.01,14,89,560,108.83,387.50,1218
ApplicationFirstInstall,101.47,100.16,0.02,96,599,4877,676.33,3119.00,3247
UserDidPublishVideoWithTwitter,0.09,0.09,0.00,0,0,4,0.50,2.50,3
CameraUserDidConfirmtDelete,1.28,1.06,0.00,1,9,17,6.17,17.50,41
LoginWithTwitterDidFailDenied,0.53,0.50,0.00,1,3,21,3.00,15.00,17
CameraPublishDidCancel,7.63,6.47,0.00,1,2,271,43.83,156.50,244
CameraPublishDidGoBack,6.41,4.22,0.00,0,0,175,28.00,96.00,205
VideoDidComplete25,1419.44,511.53,0.25,279,1669,5003,1809.67,4028.00,45422
VideoDidComplete50,1298.75,480.38,0.23,243,1532,4838,1724.33,3862.50,41560
UserDidCancelLogin,167.91,101.03,0.03,91,553,2651,570.67,1933.00,5373
VideoDidSkip,439.84,182.81,0.08,105,874,2538,804.67,2067.50,14075
UserDidPublishImageWithFacebook,0.09,0.09,0.00,0,0,7,0.83,3.50,3
LoginWithFacebookDidSucceed,30.16,29.47,0.01,23,152,892,173.00,626.00,965
ProfileDidUpdated,51.25,30.00,0.01,27,144,882,173.83,595.00,1640
