UserDidPostComment,40.16,12.91,0.01,3,13,819,123.83,443.50,1285
CameraUserDidPickVideoFromLibrary,2.59,1.50,0.00,4,14,39,10.00,30.50,83
CameraDidSwitchToPhotoCapture,1.38,1.19,0.00,0,10,42,8.17,30.50,44
SignupWithWitterDidSucceed,265.97,100.06,0.04,97,265,595,263.00,471.00,8511
VideoDidStart,277.06,28.41,0.04,16,50,3904,510.83,1989.50,8866
VideoDidComplete25,249.00,168.34,0.03,211,706,2703,809.67,1992.50,7968
LoginWithTwitterDidFailUnknown,2.09,1.38,0.00,1,7,65,9.50,41.00,67
SequenceSelected,13890.13,1238.69,1.95,1193,3027,8252,3235.50,6415.00,444484
LoginWithFacebookDidFail,9.50,6.28,0.00,4,38,237,41.33,157.50,304
CameraDidCaptureVideo,4.53,1.88,0.00,5,19,29,10.67,28.50,145
ApplicationFirstInstall,78.59,77.22,0.01,47,383,6362,609.17,3725.50,2515
LoginWithEmailDidFail,33.56,16.84,0.00,9,100,643,108.00,442.50,1074
VideoDidComplete75,191.84,133.88,0.03,178,585,2253,666.67,1654.50,6139
SignupWithEmailDidSucceed,17.84,17.66,0.00,11,101,1069,120.83,677.00,571
UserDidSelectSignupWithEmail,24.75,23.28,0.00,12,141,1269,157.83,818.00,792
UserDidPublishVideoWithTwitter,0.03,0.03,0.00,0,0,4,0.33,2.00,1
ApplicationDidEnterBackground,3505.78,869.38,0.49,829,2290,5955,2346.83,4736.50,112185
LoginWithFacebookDidSucceed,36.81,34.69,0.01,27,180,970,190.83,676.50,1178
CameraUserDidSelectDelete,0.53,0.31,0.00,1,3,8,2.17,6.50,17
CameraUserDidGoBack,270.16,89.84,0.04,22,140,1562,417.00,1081.00,8645
UserDidPublishImageWithTwitter,1.06,0.84,0.00,0,0,27,4.50,15.00,34
UserDidVoteSequence,7638.13,432.09,1.07,393,1132,2862,1186.17,2278.00,244420
UserDidPublishVideoWithFacebook,0.00,0.00,0.00,0,0,4,0.17,2.00,0
ApplicationDidLaunch,3749.41,1713.69,0.53,1681,4340,11334,4554.00,8914.00,119981
VideoDidError,0.28,0.28,0.00,0,1,31,1.50,17.00,9
SignupWithFacebookDidSucceed,888.66,314.78,0.12,302,679,2046,804.67,1499.00,28437
CameraUserDidPickImageFromLibrary,496.19,202.59,0.07,159,649,2356,731.83,1750.00,15878
UserDidLogOut,5.88,3.63,0.00,4,21,87,19.33,60.00,188
LoginWithTwitterDidFailDenied,0.50,0.47,0.00,1,2,19,2.83,12.50,16
VideoDidComplete50,219.66,151.00,0.03,199,649,2503,739.67,1835.00,7029
VideoDidComplete100,82.81,63.13,0.01,133,294,1290,355.17,932.00,2650
ApplicationDidEnterForeground,4471.41,1116.75,0.63,1708,4268,5978,2916.50,5643.50,143085
CameraDidSwitchToVideoCapture,1.66,1.19,0.00,1,5,56,9.50,35.00,53
CameraPublishDidCancel,9.16,7.53,0.00,1,6,287,52.17,176.00,293
LoginWithTwitterSelected,9.47,7.72,0.00,8,37,313,47.33,201.50,303
UserDidSelectMainMenu,2945.78,570.09,0.41,421,1561,6332,1922.17,4605.50,94265
UserDidPublishImageWithFacebook,1.03,0.75,0.00,0,0,20,4.00,11.50,33
CameraDidCapturePhoto,235.63,73.41,0.03,70,281,917,308.83,706.50,7540
LoginWithEmailDidSucceed,22.50,19.19,0.00,11,102,434,107.50,320.00,720
LoginWithTwitterDidSucceed,5.78,5.16,0.00,6,26,208,32.17,133.50,185
UserDidPublishContent,236.16,149.84,0.03,13,85,1430,494.33,1054.00,7557
CameraUserDidConfirmtDelete,0.50,0.28,0.00,1,3,7,2.00,6.00,16
UserDidCancelLogin,180.25,103.94,0.03,83,547,3143,608.83,2167.00,5768
LoginWithFacebookSelected,47.50,40.13,0.01,31,212,1145,224.00,798.00,1520
UserDidShare,94.84,74.88,0.01,52,349,1370,429.50,1067.00,3035
ProfileDidUpdated,42.38,28.59,0.01,18,100,915,175.33,594.00,1356
CameraPublishDidGoBack,7.88,6.94,0.00,1,5,264,47.17,166.00,252
VideoDidSkip,123.59,56.72,0.02,51,280,1283,323.33,936.00,3955
UserDidSubmitSignupInfo,19.53,18.75,0.00,11,110,1101,127.83,701.50,625
ViewDidStart,13445.59,1199.72,1.89,1276,3169,5179,2926.17,4897.50,430259
CreateProfileDidSucceed,30.59,29.28,0.00,14,172,1649,204.00,1044.00,979
SequenceDidAppearInStream,224794.09,1616.50,31.56,1575,3927,10428,4168.50,8186.00,7193411
LoginWithTwitterDidFailNoAccounts,1.06,0.88,0.00,0,3,37,5.33,24.50,34
